ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CreateReservationTwoScenariosHU12Diagnosis	createreservationtwoscenarioshu12diagnosis	1590419531487	 	3.3.1
USER	CreateReservationTwoScenariosHU12	1	START	1590419532977	1590419532977
USER	FailReservationTwoScenariosHU12	29	START	1590419532995	1590419532995
USER	CreateReservationTwoScenariosHU12	2	START	1590419533056	1590419533056
USER	FailReservationTwoScenariosHU12	30	START	1590419533056	1590419533056
USER	CreateReservationTwoScenariosHU12	3	START	1590419533135	1590419533135
USER	FailReservationTwoScenariosHU12	31	START	1590419533135	1590419533135
USER	FailReservationTwoScenariosHU12	32	START	1590419533203	1590419533203
USER	CreateReservationTwoScenariosHU12	4	START	1590419533203	1590419533203
USER	CreateReservationTwoScenariosHU12	5	START	1590419533271	1590419533271
USER	FailReservationTwoScenariosHU12	33	START	1590419533296	1590419533296
USER	CreateReservationTwoScenariosHU12	6	START	1590419533354	1590419533354
USER	FailReservationTwoScenariosHU12	34	START	1590419533354	1590419533354
USER	FailReservationTwoScenariosHU12	35	START	1590419533421	1590419533421
USER	CreateReservationTwoScenariosHU12	7	START	1590419533421	1590419533421
USER	FailReservationTwoScenariosHU12	36	START	1590419533487	1590419533487
USER	CreateReservationTwoScenariosHU12	8	START	1590419533487	1590419533487
USER	FailReservationTwoScenariosHU12	37	START	1590419533564	1590419533564
USER	CreateReservationTwoScenariosHU12	9	START	1590419533564	1590419533564
USER	FailReservationTwoScenariosHU12	38	START	1590419533633	1590419533633
USER	CreateReservationTwoScenariosHU12	10	START	1590419533653	1590419533653
USER	FailReservationTwoScenariosHU12	39	START	1590419533703	1590419533703
USER	CreateReservationTwoScenariosHU12	11	START	1590419533732	1590419533732
USER	FailReservationTwoScenariosHU12	40	START	1590419533793	1590419533793
USER	CreateReservationTwoScenariosHU12	12	START	1590419533793	1590419533793
USER	FailReservationTwoScenariosHU12	41	START	1590419533856	1590419533856
USER	CreateReservationTwoScenariosHU12	13	START	1590419533872	1590419533872
USER	FailReservationTwoScenariosHU12	42	START	1590419533925	1590419533925
USER	CreateReservationTwoScenariosHU12	14	START	1590419533948	1590419533948
USER	FailReservationTwoScenariosHU12	43	START	1590419533988	1590419533988
USER	CreateReservationTwoScenariosHU12	15	START	1590419534012	1590419534012
USER	FailReservationTwoScenariosHU12	44	START	1590419534088	1590419534088
USER	CreateReservationTwoScenariosHU12	16	START	1590419534088	1590419534088
USER	FailReservationTwoScenariosHU12	45	START	1590419534140	1590419534140
USER	CreateReservationTwoScenariosHU12	17	START	1590419534162	1590419534162
USER	FailReservationTwoScenariosHU12	46	START	1590419534220	1590419534220
USER	CreateReservationTwoScenariosHU12	18	START	1590419534240	1590419534240
USER	FailReservationTwoScenariosHU12	47	START	1590419534296	1590419534296
USER	CreateReservationTwoScenariosHU12	19	START	1590419534316	1590419534316
USER	FailReservationTwoScenariosHU12	48	START	1590419534370	1590419534370
USER	CreateReservationTwoScenariosHU12	20	START	1590419534390	1590419534390
USER	FailReservationTwoScenariosHU12	49	START	1590419534462	1590419534462
USER	CreateReservationTwoScenariosHU12	21	START	1590419534466	1590419534466
USER	FailReservationTwoScenariosHU12	50	START	1590419534529	1590419534529
USER	CreateReservationTwoScenariosHU12	22	START	1590419534549	1590419534549
USER	FailReservationTwoScenariosHU12	51	START	1590419534606	1590419534606
USER	CreateReservationTwoScenariosHU12	23	START	1590419534626	1590419534626
USER	FailReservationTwoScenariosHU12	52	START	1590419534689	1590419534689
USER	CreateReservationTwoScenariosHU12	24	START	1590419534713	1590419534713
USER	FailReservationTwoScenariosHU12	53	START	1590419534773	1590419534773
USER	CreateReservationTwoScenariosHU12	25	START	1590419534776	1590419534776
USER	FailReservationTwoScenariosHU12	54	START	1590419534844	1590419534844
USER	CreateReservationTwoScenariosHU12	26	START	1590419534866	1590419534866
USER	FailReservationTwoScenariosHU12	55	START	1590419534906	1590419534906
USER	CreateReservationTwoScenariosHU12	27	START	1590419534960	1590419534960
USER	FailReservationTwoScenariosHU12	56	START	1590419534995	1590419534995
USER	CreateReservationTwoScenariosHU12	28	START	1590419535017	1590419535017
USER	CreateReservationTwoScenariosHU12	57	START	1590419535072	1590419535072
USER	FailReservationTwoScenariosHU12	70	START	1590419535072	1590419535072
USER	CreateReservationTwoScenariosHU12	58	START	1590419535156	1590419535156
USER	FailReservationTwoScenariosHU12	71	START	1590419535156	1590419535156
USER	FailReservationTwoScenariosHU12	72	START	1590419535246	1590419535246
USER	CreateReservationTwoScenariosHU12	59	START	1590419535246	1590419535246
USER	FailReservationTwoScenariosHU12	73	START	1590419535305	1590419535305
USER	CreateReservationTwoScenariosHU12	60	START	1590419535306	1590419535306
USER	CreateReservationTwoScenariosHU12	61	START	1590419535376	1590419535376
USER	FailReservationTwoScenariosHU12	74	START	1590419535376	1590419535376
USER	FailReservationTwoScenariosHU12	75	START	1590419535462	1590419535462
USER	CreateReservationTwoScenariosHU12	62	START	1590419535462	1590419535462
USER	FailReservationTwoScenariosHU12	76	START	1590419535529	1590419535529
USER	CreateReservationTwoScenariosHU12	63	START	1590419535555	1590419535555
USER	CreateReservationTwoScenariosHU12	64	START	1590419535606	1590419535606
USER	FailReservationTwoScenariosHU12	77	START	1590419535606	1590419535606
USER	FailReservationTwoScenariosHU12	78	START	1590419535690	1590419535690
USER	CreateReservationTwoScenariosHU12	65	START	1590419535690	1590419535690
USER	CreateReservationTwoScenariosHU12	66	START	1590419535770	1590419535770
USER	FailReservationTwoScenariosHU12	79	START	1590419535771	1590419535771
USER	CreateReservationTwoScenariosHU12	67	START	1590419535839	1590419535839
USER	FailReservationTwoScenariosHU12	80	START	1590419535841	1590419535841
REQUEST	65		request_0	1590419535691	1590419535913	OK	 
REQUEST	8		request_0	1590419533488	1590419535921	OK	 
REQUEST	30		request_0	1590419533057	1590419535913	OK	 
REQUEST	26		request_0	1590419534867	1590419535912	OK	 
REQUEST	39		request_0	1590419533704	1590419535912	OK	 
REQUEST	12		request_0	1590419533794	1590419535912	OK	 
REQUEST	73		request_0	1590419535306	1590419535912	OK	 
REQUEST	2		request_0	1590419533057	1590419535912	OK	 
REQUEST	36		request_0	1590419533488	1590419535915	OK	 
REQUEST	3		request_0	1590419533136	1590419535914	OK	 
REQUEST	61		request_0	1590419535377	1590419535912	OK	 
REQUEST	80		request_0	1590419535843	1590419535912	OK	 
REQUEST	37		request_0	1590419533565	1590419535921	OK	 
REQUEST	75		request_0	1590419535463	1590419535923	OK	 
REQUEST	79		request_0	1590419535772	1590419535912	OK	 
REQUEST	6		request_0	1590419533355	1590419535913	OK	 
USER	FailReservationTwoScenariosHU12	81	START	1590419535953	1590419535953
USER	CreateReservationTwoScenariosHU12	68	START	1590419535952	1590419535952
USER	CreateReservationTwoScenariosHU12	69	START	1590419536014	1590419536014
USER	FailReservationTwoScenariosHU12	82	START	1590419536030	1590419536030
REQUEST	9		request_0	1590419533565	1590419536039	OK	 
REQUEST	11		request_0	1590419533733	1590419536040	OK	 
REQUEST	5		request_0	1590419533272	1590419536041	OK	 
REQUEST	32		request_0	1590419533205	1590419536042	OK	 
REQUEST	31		request_0	1590419533136	1590419536042	OK	 
REQUEST	40		request_0	1590419533794	1590419536042	OK	 
REQUEST	44		request_0	1590419534090	1590419536042	OK	 
REQUEST	4		request_0	1590419533205	1590419536044	OK	 
REQUEST	43		request_0	1590419533990	1590419536044	OK	 
REQUEST	29		request_0	1590419533025	1590419536044	OK	 
REQUEST	15		request_0	1590419534013	1590419536045	OK	 
REQUEST	16		request_0	1590419534090	1590419536045	OK	 
REQUEST	28		request_0	1590419535018	1590419536045	OK	 
REQUEST	24		request_0	1590419534714	1590419536045	OK	 
REQUEST	20		request_0	1590419534392	1590419536047	OK	 
REQUEST	27		request_0	1590419534962	1590419536047	OK	 
REQUEST	13		request_0	1590419533873	1590419536047	OK	 
REQUEST	47		request_0	1590419534297	1590419536047	OK	 
REQUEST	48		request_0	1590419534371	1590419536047	OK	 
REQUEST	60		request_0	1590419535307	1590419536048	OK	 
REQUEST	56		request_0	1590419534996	1590419536048	OK	 
REQUEST	59		request_0	1590419535247	1590419536050	OK	 
REQUEST	52		request_0	1590419534689	1590419536050	OK	 
REQUEST	63		request_0	1590419535556	1590419536050	OK	 
REQUEST	76		request_0	1590419535530	1590419536050	OK	 
REQUEST	72		request_0	1590419535247	1590419536050	OK	 
REQUEST	64		request_0	1590419535607	1590419536051	OK	 
REQUEST	1		request_0	1590419533025	1590419536052	OK	 
REQUEST	45		request_0	1590419534141	1590419536052	OK	 
REQUEST	14		request_0	1590419533949	1590419536052	OK	 
REQUEST	21		request_0	1590419534467	1590419536053	OK	 
REQUEST	34		request_0	1590419533357	1590419536054	OK	 
REQUEST	33		request_0	1590419533297	1590419536055	OK	 
REQUEST	46		request_0	1590419534221	1590419536055	OK	 
REQUEST	77		request_0	1590419535607	1590419536056	OK	 
REQUEST	53		request_0	1590419534774	1590419536056	OK	 
REQUEST	10		request_0	1590419533654	1590419536056	OK	 
REQUEST	17		request_0	1590419534163	1590419536057	OK	 
REQUEST	62		request_0	1590419535463	1590419536058	OK	 
REQUEST	41		request_0	1590419533857	1590419536058	OK	 
REQUEST	42		request_0	1590419533927	1590419536059	OK	 
