ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CreateReservationTwoScenariosAlpha	createreservationtwoscenariosalpha	1590352298462	 	3.3.1
USER	CreateGoodReservation	1	START	1590352300041	1590352300041
USER	CreateBadReservation	25	START	1590352300059	1590352300059
USER	CreateBadReservation	26	START	1590352300130	1590352300130
USER	CreateGoodReservation	2	START	1590352300130	1590352300130
USER	CreateBadReservation	27	START	1590352300226	1590352300226
USER	CreateGoodReservation	3	START	1590352300226	1590352300226
USER	CreateGoodReservation	4	START	1590352300295	1590352300295
USER	CreateBadReservation	28	START	1590352300295	1590352300295
USER	CreateBadReservation	29	START	1590352300393	1590352300393
USER	CreateGoodReservation	5	START	1590352300395	1590352300395
USER	CreateBadReservation	30	START	1590352300465	1590352300465
USER	CreateGoodReservation	6	START	1590352300493	1590352300493
USER	CreateBadReservation	31	START	1590352300545	1590352300545
USER	CreateGoodReservation	7	START	1590352300567	1590352300567
USER	CreateBadReservation	32	START	1590352300625	1590352300625
USER	CreateGoodReservation	8	START	1590352300646	1590352300646
USER	CreateBadReservation	33	START	1590352300719	1590352300719
USER	CreateGoodReservation	9	START	1590352300735	1590352300735
USER	CreateBadReservation	34	START	1590352300795	1590352300795
USER	CreateGoodReservation	10	START	1590352300815	1590352300815
USER	CreateBadReservation	35	START	1590352300882	1590352300882
USER	CreateGoodReservation	11	START	1590352300903	1590352300903
USER	CreateBadReservation	36	START	1590352300965	1590352300965
USER	CreateGoodReservation	12	START	1590352300985	1590352300985
USER	CreateBadReservation	37	START	1590352301054	1590352301054
USER	CreateGoodReservation	13	START	1590352301069	1590352301069
USER	CreateBadReservation	38	START	1590352301151	1590352301151
USER	CreateGoodReservation	14	START	1590352301155	1590352301155
USER	CreateBadReservation	39	START	1590352301235	1590352301235
USER	CreateGoodReservation	15	START	1590352301252	1590352301252
USER	CreateBadReservation	40	START	1590352301315	1590352301315
USER	CreateGoodReservation	16	START	1590352301335	1590352301335
USER	CreateBadReservation	41	START	1590352301411	1590352301411
USER	CreateGoodReservation	17	START	1590352301427	1590352301427
USER	CreateBadReservation	42	START	1590352301496	1590352301496
USER	CreateGoodReservation	18	START	1590352301515	1590352301515
USER	CreateBadReservation	43	START	1590352301585	1590352301585
USER	CreateGoodReservation	19	START	1590352301622	1590352301622
USER	CreateBadReservation	44	START	1590352301685	1590352301685
USER	CreateGoodReservation	20	START	1590352301707	1590352301707
USER	CreateBadReservation	45	START	1590352301786	1590352301786
USER	CreateGoodReservation	21	START	1590352301812	1590352301812
USER	CreateBadReservation	46	START	1590352301868	1590352301868
USER	CreateGoodReservation	22	START	1590352301885	1590352301885
USER	CreateBadReservation	47	START	1590352301962	1590352301962
USER	CreateGoodReservation	23	START	1590352301982	1590352301982
USER	CreateBadReservation	48	START	1590352302052	1590352302052
USER	CreateGoodReservation	24	START	1590352302081	1590352302081
USER	CreateGoodReservation	49	START	1590352302130	1590352302130
USER	CreateBadReservation	60	START	1590352302145	1590352302145
USER	CreateGoodReservation	50	START	1590352302215	1590352302215
USER	CreateBadReservation	61	START	1590352302236	1590352302236
USER	CreateGoodReservation	51	START	1590352302305	1590352302305
USER	CreateBadReservation	62	START	1590352302325	1590352302325
USER	CreateGoodReservation	52	START	1590352302414	1590352302414
USER	CreateBadReservation	63	START	1590352302433	1590352302433
USER	CreateGoodReservation	53	START	1590352302485	1590352302485
USER	CreateBadReservation	64	START	1590352302515	1590352302515
USER	CreateGoodReservation	54	START	1590352302584	1590352302584
USER	CreateBadReservation	65	START	1590352302615	1590352302615
USER	CreateGoodReservation	55	START	1590352302672	1590352302672
REQUEST	2		request_0	1590352300131	1590352302671	OK	 
REQUEST	5		request_0	1590352300396	1590352302671	OK	 
REQUEST	22		request_0	1590352301886	1590352302671	OK	 
REQUEST	17		request_0	1590352301428	1590352302671	OK	 
REQUEST	30		request_0	1590352300466	1590352302671	OK	 
REQUEST	20		request_0	1590352301708	1590352302680	OK	 
