ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia18TestDiagnosis	historia18testdiagnosis	1590513708104	 	3.3.1
USER	VetWithDiagnosis	3	START	1590513709156	1590513709156
USER	VetWithoutDiagnosis	104	START	1590513709156	1590513709156
USER	VetWithoutDiagnosis	103	START	1590513709134	1590513709134
USER	VetWithDiagnosis	1	START	1590513709116	1590513709116
USER	VetWithDiagnosis	2	START	1590513709141	1590513709141
USER	VetWithoutDiagnosis	102	START	1590513709134	1590513709134
USER	VetWithDiagnosis	4	START	1590513709178	1590513709178
USER	VetWithoutDiagnosis	105	START	1590513709180	1590513709180
USER	VetWithoutDiagnosis	106	START	1590513709203	1590513709203
USER	VetWithDiagnosis	5	START	1590513709203	1590513709203
REQUEST	2		Home	1590513709167	1590513709199	OK	 
REQUEST	102		Home	1590513709167	1590513709200	OK	 
REQUEST	1		Home	1590513709167	1590513709199	OK	 
REQUEST	103		Home	1590513709167	1590513709199	OK	 
REQUEST	104		Home	1590513709167	1590513709199	OK	 
REQUEST	3		Home	1590513709167	1590513709199	OK	 
REQUEST	105		Home	1590513709180	1590513709199	OK	 
REQUEST	4		Home	1590513709180	1590513709199	OK	 
USER	VetWithoutDiagnosis	107	START	1590513709223	1590513709223
USER	VetWithDiagnosis	6	START	1590513709223	1590513709223
USER	VetWithoutDiagnosis	108	START	1590513709243	1590513709243
USER	VetWithDiagnosis	7	START	1590513709239	1590513709239
REQUEST	106		Home	1590513709205	1590513709252	OK	 
USER	VetWithoutDiagnosis	109	START	1590513709264	1590513709264
USER	VetWithDiagnosis	8	START	1590513709271	1590513709271
REQUEST	5		Home	1590513709204	1590513709274	OK	 
USER	VetWithoutDiagnosis	110	START	1590513709277	1590513709277
REQUEST	107		Home	1590513709231	1590513709283	OK	 
REQUEST	109		Home	1590513709267	1590513709286	OK	 
REQUEST	108		Home	1590513709245	1590513709288	OK	 
USER	VetWithDiagnosis	9	START	1590513709288	1590513709288
REQUEST	110		Home	1590513709279	1590513709298	OK	 
USER	VetWithoutDiagnosis	111	START	1590513709300	1590513709300
REQUEST	111		Home	1590513709302	1590513709317	OK	 
USER	VetWithoutDiagnosis	112	START	1590513709315	1590513709315
USER	VetWithDiagnosis	10	START	1590513709315	1590513709315
REQUEST	112		Home	1590513709319	1590513709326	OK	 
USER	VetWithDiagnosis	11	START	1590513709327	1590513709327
USER	VetWithDiagnosis	12	START	1590513709347	1590513709347
USER	VetWithoutDiagnosis	113	START	1590513709347	1590513709347
REQUEST	12		Home	1590513709351	1590513709358	OK	 
REQUEST	10		Home	1590513709320	1590513709358	OK	 
REQUEST	8		Home	1590513709272	1590513709359	OK	 
REQUEST	9		Home	1590513709289	1590513709360	OK	 
REQUEST	11		Home	1590513709329	1590513709361	OK	 
REQUEST	113		Home	1590513709353	1590513709363	OK	 
REQUEST	7		Home	1590513709250	1590513709364	OK	 
USER	VetWithoutDiagnosis	114	START	1590513709364	1590513709364
USER	VetWithDiagnosis	13	START	1590513709365	1590513709365
REQUEST	6		Home	1590513709238	1590513709368	OK	 
REQUEST	114		Home	1590513709365	1590513709368	OK	 
REQUEST	13		Home	1590513709366	1590513709369	OK	 
USER	VetWithoutDiagnosis	115	START	1590513709378	1590513709378
REQUEST	115		Home	1590513709378	1590513709382	OK	 
USER	VetWithDiagnosis	14	START	1590513709389	1590513709389
REQUEST	14		Home	1590513709389	1590513709392	OK	 
USER	VetWithoutDiagnosis	116	START	1590513709399	1590513709399
REQUEST	116		Home	1590513709400	1590513709403	OK	 
USER	VetWithDiagnosis	15	START	1590513709411	1590513709411
REQUEST	15		Home	1590513709411	1590513709414	OK	 
USER	VetWithoutDiagnosis	117	START	1590513709415	1590513709415
REQUEST	117		Home	1590513709416	1590513709419	OK	 
USER	VetWithDiagnosis	16	START	1590513709427	1590513709427
