ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia21Test	historia21test	1590516206730	 	3.3.1
USER	VetNotCreatedScn	53	START	1590516207876	1590516207876
USER	VetCreatedScn	2	START	1590516207880	1590516207880
USER	VetNotCreatedScn	52	START	1590516207850	1590516207850
USER	VetCreatedScn	1	START	1590516207832	1590516207832
USER	VetNotCreatedScn	54	START	1590516207911	1590516207911
USER	VetCreatedScn	3	START	1590516207922	1590516207922
REQUEST	1		Home	1590516207882	1590516207915	OK	 
REQUEST	52		Home	1590516207882	1590516207915	OK	 
REQUEST	53		Home	1590516207882	1590516207915	OK	 
REQUEST	2		Home	1590516207882	1590516207915	OK	 
REQUEST	54		Home	1590516207911	1590516207918	OK	 
REQUEST	3		Home	1590516207923	1590516207935	OK	 
USER	VetNotCreatedScn	55	START	1590516207955	1590516207955
REQUEST	55		Home	1590516207957	1590516207969	OK	 
USER	VetCreatedScn	4	START	1590516207970	1590516207970
USER	VetNotCreatedScn	56	START	1590516207995	1590516207995
USER	VetCreatedScn	5	START	1590516208006	1590516208006
REQUEST	56		Home	1590516207996	1590516208006	OK	 
REQUEST	5		Home	1590516208006	1590516208025	OK	 
REQUEST	4		Home	1590516207971	1590516208026	OK	 
USER	VetNotCreatedScn	57	START	1590516208037	1590516208037
USER	VetCreatedScn	6	START	1590516208040	1590516208040
REQUEST	57		Home	1590516208038	1590516208043	OK	 
REQUEST	6		Home	1590516208041	1590516208044	OK	 
USER	VetNotCreatedScn	58	START	1590516208072	1590516208072
REQUEST	58		Home	1590516208073	1590516208077	OK	 
USER	VetCreatedScn	7	START	1590516208083	1590516208083
REQUEST	7		Home	1590516208084	1590516208086	OK	 
USER	VetNotCreatedScn	59	START	1590516208115	1590516208115
REQUEST	59		Home	1590516208116	1590516208120	OK	 
USER	VetCreatedScn	8	START	1590516208120	1590516208120
REQUEST	8		Home	1590516208121	1590516208123	OK	 
USER	VetNotCreatedScn	60	START	1590516208151	1590516208151
USER	VetCreatedScn	9	START	1590516208162	1590516208162
REQUEST	60		Home	1590516208153	1590516208165	OK	 
REQUEST	9		Home	1590516208164	1590516208173	OK	 
USER	VetNotCreatedScn	61	START	1590516208195	1590516208195
USER	VetCreatedScn	10	START	1590516208200	1590516208200
REQUEST	10		Home	1590516208203	1590516208211	OK	 
REQUEST	61		Home	1590516208197	1590516208212	OK	 
USER	VetNotCreatedScn	62	START	1590516208232	1590516208232
REQUEST	62		Home	1590516208233	1590516208241	OK	 
USER	VetCreatedScn	11	START	1590516208253	1590516208253
REQUEST	11		Home	1590516208254	1590516208259	OK	 
USER	VetNotCreatedScn	63	START	1590516208274	1590516208274
REQUEST	63		Home	1590516208275	1590516208285	OK	 
USER	VetCreatedScn	12	START	1590516208296	1590516208296
REQUEST	12		Home	1590516208297	1590516208301	OK	 
USER	VetNotCreatedScn	64	START	1590516208311	1590516208311
REQUEST	64		Home	1590516208312	1590516208318	OK	 
USER	VetCreatedScn	13	START	1590516208333	1590516208333
REQUEST	13		Home	1590516208334	1590516208338	OK	 
USER	VetNotCreatedScn	65	START	1590516208354	1590516208354
REQUEST	65		Home	1590516208355	1590516208358	OK	 
USER	VetCreatedScn	14	START	1590516208375	1590516208375
REQUEST	14		Home	1590516208376	1590516208379	OK	 
USER	VetNotCreatedScn	66	START	1590516208390	1590516208390
REQUEST	66		Home	1590516208391	1590516208394	OK	 
USER	VetCreatedScn	15	START	1590516208412	1590516208412
REQUEST	15		Home	1590516208412	1590516208415	OK	 
USER	VetNotCreatedScn	67	START	1590516208432	1590516208432
REQUEST	67		Home	1590516208433	1590516208436	OK	 
USER	VetCreatedScn	16	START	1590516208454	1590516208454
REQUEST	16		Home	1590516208454	1590516208458	OK	 
USER	VetNotCreatedScn	68	START	1590516208474	1590516208474
REQUEST	68		Home	1590516208475	1590516208479	OK	 
USER	VetCreatedScn	17	START	1590516208495	1590516208495
REQUEST	17		Home	1590516208496	1590516208501	OK	 
USER	VetNotCreatedScn	69	START	1590516208510	1590516208510
