ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia22Test	historia22test	1590522786541	 	3.3.1
USER	DiagnosisCreatedScn	1	START	1590522787675	1590522787675
USER	DiagnosisNotCreatedScn	16	START	1590522787689	1590522787689
REQUEST	16		Home	1590522787721	1590522787747	OK	 
REQUEST	1		Home	1590522787721	1590522787747	OK	 
USER	DiagnosisNotCreatedScn	17	START	1590522787833	1590522787833
USER	DiagnosisCreatedScn	2	START	1590522787838	1590522787838
REQUEST	17		Home	1590522787835	1590522787844	OK	 
REQUEST	2		Home	1590522787840	1590522787864	OK	 
USER	DiagnosisNotCreatedScn	18	START	1590522787970	1590522787970
REQUEST	18		Home	1590522787971	1590522787978	OK	 
USER	DiagnosisCreatedScn	3	START	1590522787981	1590522787981
REQUEST	3		Home	1590522787982	1590522787996	OK	 
USER	DiagnosisNotCreatedScn	19	START	1590522788112	1590522788112
REQUEST	19		Home	1590522788114	1590522788123	OK	 
USER	DiagnosisCreatedScn	4	START	1590522788122	1590522788122
REQUEST	4		Home	1590522788125	1590522788139	OK	 
USER	DiagnosisNotCreatedScn	20	START	1590522788259	1590522788259
USER	DiagnosisCreatedScn	5	START	1590522788259	1590522788259
REQUEST	20		Home	1590522788261	1590522788268	OK	 
REQUEST	5		Home	1590522788261	1590522788275	OK	 
USER	DiagnosisNotCreatedScn	21	START	1590522788400	1590522788400
REQUEST	21		Home	1590522788401	1590522788404	OK	 
USER	DiagnosisCreatedScn	6	START	1590522788411	1590522788411
REQUEST	6		Home	1590522788412	1590522788419	OK	 
USER	DiagnosisNotCreatedScn	22	START	1590522788542	1590522788542
REQUEST	22		Home	1590522788544	1590522788552	OK	 
USER	DiagnosisCreatedScn	7	START	1590522788553	1590522788553
REQUEST	7		Home	1590522788555	1590522788566	OK	 
USER	DiagnosisNotCreatedScn	23	START	1590522788689	1590522788689
USER	DiagnosisCreatedScn	8	START	1590522788689	1590522788689
REQUEST	23		Home	1590522788690	1590522788694	OK	 
REQUEST	8		Home	1590522788690	1590522788698	OK	 
USER	DiagnosisNotCreatedScn	24	START	1590522788830	1590522788830
REQUEST	24		Home	1590522788830	1590522788834	OK	 
USER	DiagnosisCreatedScn	9	START	1590522788841	1590522788841
REQUEST	9		Home	1590522788841	1590522788847	OK	 
USER	DiagnosisNotCreatedScn	25	START	1590522788971	1590522788971
REQUEST	25		Home	1590522788973	1590522788977	OK	 
USER	DiagnosisCreatedScn	10	START	1590522788982	1590522788982
REQUEST	10		Home	1590522788983	1590522788992	OK	 
USER	DiagnosisNotCreatedScn	26	START	1590522789112	1590522789112
REQUEST	26		Home	1590522789113	1590522789122	OK	 
USER	DiagnosisCreatedScn	11	START	1590522789123	1590522789123
REQUEST	11		Home	1590522789123	1590522789130	OK	 
USER	DiagnosisNotCreatedScn	27	START	1590522789258	1590522789258
USER	DiagnosisCreatedScn	12	START	1590522789258	1590522789258
REQUEST	27		Home	1590522789259	1590522789262	OK	 
REQUEST	12		Home	1590522789259	1590522789263	OK	 
USER	DiagnosisNotCreatedScn	28	START	1590522789398	1590522789398
REQUEST	28		Home	1590522789399	1590522789403	OK	 
USER	DiagnosisCreatedScn	13	START	1590522789409	1590522789409
REQUEST	13		Home	1590522789410	1590522789415	OK	 
USER	DiagnosisNotCreatedScn	29	START	1590522789540	1590522789540
REQUEST	29		Home	1590522789542	1590522789548	OK	 
USER	DiagnosisCreatedScn	14	START	1590522789551	1590522789551
REQUEST	14		Home	1590522789553	1590522789562	OK	 
USER	DiagnosisNotCreatedScn	30	START	1590522789689	1590522789689
USER	DiagnosisCreatedScn	15	START	1590522789689	1590522789689
REQUEST	30		Home	1590522789689	1590522789692	OK	 
REQUEST	15		Home	1590522789689	1590522789694	OK	 
USER	DiagnosisNotCreatedScn	37	START	1590522789851	1590522789851
USER	DiagnosisCreatedScn	31	START	1590522789851	1590522789851
REQUEST	31		Home	1590522789852	1590522789854	OK	 
REQUEST	37		Home	1590522789852	1590522789854	OK	 
USER	DiagnosisNotCreatedScn	38	START	1590522790022	1590522790022
USER	DiagnosisCreatedScn	32	START	1590522790022	1590522790022
REQUEST	38		Home	1590522790024	1590522790032	OK	 
REQUEST	32		Home	1590522790024	1590522790032	OK	 
USER	DiagnosisCreatedScn	33	START	1590522790193	1590522790193
USER	DiagnosisNotCreatedScn	39	START	1590522790193	1590522790193
REQUEST	39		Home	1590522790195	1590522790201	OK	 
REQUEST	33		Home	1590522790195	1590522790201	OK	 
USER	DiagnosisNotCreatedScn	40	START	1590522790349	1590522790349
USER	DiagnosisCreatedScn	34	START	1590522790349	1590522790349
REQUEST	40		Home	1590522790349	1590522790352	OK	 
REQUEST	34		Home	1590522790349	1590522790352	OK	 
USER	DiagnosisNotCreatedScn	41	START	1590522790521	1590522790521
USER	DiagnosisCreatedScn	35	START	1590522790521	1590522790521
REQUEST	35		Home	1590522790521	1590522790523	OK	 
REQUEST	41		Home	1590522790521	1590522790523	OK	 
USER	DiagnosisNotCreatedScn	42	START	1590522790693	1590522790693
USER	DiagnosisCreatedScn	36	START	1590522790693	1590522790693
REQUEST	42		Home	1590522790693	1590522790696	OK	 
REQUEST	36		Home	1590522790693	1590522790696	OK	 
USER	DiagnosisCreatedScn	43	START	1590522790824	1590522790824
USER	DiagnosisNotCreatedScn	50	START	1590522790824	1590522790824
REQUEST	43		Home	1590522790825	1590522790832	OK	 
REQUEST	50		Home	1590522790825	1590522790832	OK	 
USER	DiagnosisCreatedScn	44	START	1590522790968	1590522790968
USER	DiagnosisNotCreatedScn	51	START	1590522790968	1590522790968
REQUEST	44		Home	1590522790970	1590522790976	OK	 
REQUEST	51		Home	1590522790970	1590522790976	OK	 
USER	DiagnosisCreatedScn	45	START	1590522791109	1590522791109
USER	DiagnosisNotCreatedScn	52	START	1590522791109	1590522791109
REQUEST	52		Home	1590522791111	1590522791117	OK	 
REQUEST	45		Home	1590522791111	1590522791117	OK	 
USER	DiagnosisCreatedScn	46	START	1590522791248	1590522791248
USER	DiagnosisNotCreatedScn	53	START	1590522791248	1590522791248
REQUEST	53		Home	1590522791250	1590522791258	OK	 
REQUEST	46		Home	1590522791250	1590522791258	OK	 
USER	DiagnosisCreatedScn	47	START	1590522791400	1590522791400
USER	DiagnosisNotCreatedScn	54	START	1590522791400	1590522791400
REQUEST	47		Home	1590522791401	1590522791403	OK	 
REQUEST	54		Home	1590522791401	1590522791403	OK	 
USER	DiagnosisNotCreatedScn	55	START	1590522791539	1590522791539
USER	DiagnosisCreatedScn	48	START	1590522791539	1590522791539
REQUEST	55		Home	1590522791540	1590522791547	OK	 
REQUEST	48		Home	1590522791540	1590522791548	OK	 
USER	DiagnosisNotCreatedScn	56	START	1590522791680	1590522791680
USER	DiagnosisCreatedScn	49	START	1590522791680	1590522791680
REQUEST	56		Home	1590522791682	1590522791687	OK	 
REQUEST	49		Home	1590522791682	1590522791688	OK	 
USER	DiagnosisNotCreatedScn	64	START	1590522791822	1590522791822
USER	DiagnosisCreatedScn	57	START	1590522791833	1590522791833
REQUEST	64		Home	1590522791824	1590522791838	OK	 
REQUEST	57		Home	1590522791835	1590522791840	OK	 
USER	DiagnosisNotCreatedScn	65	START	1590522791969	1590522791969
USER	DiagnosisCreatedScn	58	START	1590522791969	1590522791969
REQUEST	65		Home	1590522791969	1590522791971	OK	 
REQUEST	58		Home	1590522791969	1590522791976	OK	 
USER	DiagnosisCreatedScn	59	START	1590522792110	1590522792110
USER	DiagnosisNotCreatedScn	66	START	1590522792110	1590522792110
REQUEST	66		Home	1590522792112	1590522792119	OK	 
REQUEST	59		Home	1590522792112	1590522792119	OK	 
USER	DiagnosisNotCreatedScn	67	START	1590522792253	1590522792253
REQUEST	67		Home	1590522792254	1590522792261	OK	 
USER	DiagnosisCreatedScn	60	START	1590522792263	1590522792263
REQUEST	60		Home	1590522792265	1590522792271	OK	 
USER	DiagnosisCreatedScn	61	START	1590522792398	1590522792398
USER	DiagnosisNotCreatedScn	68	START	1590522792398	1590522792398
REQUEST	68		Home	1590522792400	1590522792405	OK	 
REQUEST	61		Home	1590522792400	1590522792405	OK	 
USER	DiagnosisNotCreatedScn	69	START	1590522792540	1590522792540
USER	DiagnosisCreatedScn	62	START	1590522792540	1590522792540
REQUEST	69		Home	1590522792541	1590522792544	OK	 
REQUEST	62		Home	1590522792541	1590522792544	OK	 
USER	DiagnosisNotCreatedScn	70	START	1590522792683	1590522792683
USER	DiagnosisCreatedScn	63	START	1590522792683	1590522792683
REQUEST	70		Home	1590522792684	1590522792686	OK	 
REQUEST	63		Home	1590522792684	1590522792687	OK	 
USER	DiagnosisNotCreatedScn	77	START	1590522792838	1590522792838
USER	DiagnosisCreatedScn	71	START	1590522792838	1590522792838
REQUEST	77		Home	1590522792839	1590522792845	OK	 
REQUEST	71		Home	1590522792840	1590522792845	OK	 
USER	DiagnosisNotCreatedScn	78	START	1590522792999	1590522792999
USER	DiagnosisCreatedScn	72	START	1590522792999	1590522792999
REQUEST	78		Home	1590522793001	1590522793008	OK	 
REQUEST	72		Home	1590522793001	1590522793009	OK	 
USER	DiagnosisCreatedScn	73	START	1590522793168	1590522793168
USER	DiagnosisNotCreatedScn	79	START	1590522793168	1590522793168
REQUEST	73		Home	1590522793170	1590522793176	OK	 
REQUEST	79		Home	1590522793170	1590522793176	OK	 
USER	DiagnosisNotCreatedScn	80	START	1590522793340	1590522793340
USER	DiagnosisCreatedScn	74	START	1590522793340	1590522793340
REQUEST	80		Home	1590522793341	1590522793343	OK	 
REQUEST	74		Home	1590522793341	1590522793343	OK	 
USER	DiagnosisCreatedScn	75	START	1590522793501	1590522793501
USER	DiagnosisNotCreatedScn	81	START	1590522793501	1590522793501
REQUEST	81		Home	1590522793502	1590522793505	OK	 
REQUEST	75		Home	1590522793502	1590522793505	OK	 
USER	DiagnosisCreatedScn	76	START	1590522793672	1590522793672
USER	DiagnosisNotCreatedScn	82	START	1590522793672	1590522793672
REQUEST	82		Home	1590522793674	1590522793680	OK	 
REQUEST	76		Home	1590522793674	1590522793680	OK	 
USER	DiagnosisNotCreatedScn	90	START	1590522793818	1590522793818
USER	DiagnosisCreatedScn	83	START	1590522793818	1590522793818
REQUEST	90		Home	1590522793819	1590522793821	OK	 
REQUEST	83		Home	1590522793819	1590522793821	OK	 
USER	DiagnosisCreatedScn	84	START	1590522793970	1590522793970
USER	DiagnosisNotCreatedScn	91	START	1590522793970	1590522793970
