ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.History14SitterRoom	history14sitterroom	1590483792904	 	3.3.1
USER	Sitter	1	START	1590483794567	1590483794567
USER	Admin	12	START	1590483794589	1590483794589
REQUEST	1		Home	1590483794635	1590483794672	OK	 
REQUEST	12		Home	1590483794635	1590483794672	OK	 
USER	Admin	13	START	1590483794761	1590483794761
USER	Sitter	2	START	1590483794767	1590483794767
REQUEST	13		Home	1590483794761	1590483794782	OK	 
REQUEST	2		Home	1590483794768	1590483794793	OK	 
REQUEST	12		jquery-ui.min.css	1590483794845	1590483794884	OK	 
REQUEST	2		favicon.png	1590483794862	1590483794924	OK	 
REQUEST	2		jquery.min.js	1590483794928	1590483794939	OK	 
REQUEST	1		favicon.png	1590483794838	1590483794943	OK	 
REQUEST	12		jquery-ui.theme.min.css	1590483794847	1590483794945	OK	 
REQUEST	2		jquery-ui.min.js	1590483794939	1590483794950	OK	 
REQUEST	2		bootstrap.min.js	1590483794951	1590483794957	OK	 
USER	Admin	14	START	1590483794961	1590483794961
REQUEST	1		jquery.min.js	1590483794944	1590483794964	OK	 
REQUEST	13		favicon.png	1590483794856	1590483794967	OK	 
REQUEST	1		jquery-ui.min.js	1590483794965	1590483794975	OK	 
REQUEST	13		jquery.min.js	1590483794968	1590483794979	OK	 
REQUEST	1		bootstrap.min.js	1590483794976	1590483794984	OK	 
REQUEST	13		jquery-ui.min.js	1590483794980	1590483794990	OK	 
REQUEST	2		pets.png	1590483794871	1590483794995	OK	 
REQUEST	13		bootstrap.min.js	1590483794991	1590483794997	OK	 
USER	Sitter	3	START	1590483794998	1590483794998
REQUEST	12		spring-pivotal-logo.png	1590483794850	1590483795005	OK	 
REQUEST	13		petclinic.css	1590483794857	1590483795010	OK	 
REQUEST	12		favicon.png	1590483794838	1590483795009	OK	 
REQUEST	12		petclinic.css	1590483794840	1590483795024	OK	 
REQUEST	12		jquery.min.js	1590483794943	1590483795038	OK	 
REQUEST	1		petclinic.css	1590483794839	1590483795043	OK	 
REQUEST	12		jquery-ui.min.js	1590483794993	1590483795040	OK	 
REQUEST	12		pets.png	1590483794849	1590483795044	OK	 
REQUEST	1		jquery-ui.min.css	1590483794840	1590483795045	OK	 
REQUEST	12		bootstrap.min.js	1590483795008	1590483795046	OK	 
REQUEST	1		jquery-ui.theme.min.css	1590483794841	1590483795050	OK	 
REQUEST	14		Home	1590483794962	1590483795051	OK	 
REQUEST	3		Home	1590483795003	1590483795049	OK	 
REQUEST	14		jquery-ui.theme.min.css	1590483795061	1590483795081	OK	 
REQUEST	3		jquery-ui.min.css	1590483795059	1590483795081	OK	 
REQUEST	14		jquery-ui.min.css	1590483795060	1590483795083	OK	 
REQUEST	3		jquery-ui.theme.min.css	1590483795060	1590483795084	OK	 
REQUEST	14		jquery.min.js	1590483795083	1590483795092	OK	 
REQUEST	3		jquery-ui.min.js	1590483795085	1590483795094	OK	 
REQUEST	3		jquery.min.js	1590483795083	1590483795096	OK	 
REQUEST	14		jquery-ui.min.js	1590483795085	1590483795099	OK	 
REQUEST	3		bootstrap.min.js	1590483795095	1590483795104	OK	 
REQUEST	14		bootstrap.min.js	1590483795093	1590483795104	OK	 
REQUEST	3		petclinic.css	1590483795058	1590483795107	OK	 
REQUEST	14		petclinic.css	1590483795060	1590483795107	OK	 
REQUEST	3		pets.png	1590483795061	1590483795111	OK	 
REQUEST	1		pets.png	1590483794843	1590483795113	OK	 
REQUEST	3		favicon.png	1590483795057	1590483795114	OK	 
REQUEST	14		spring-pivotal-logo.png	1590483795063	1590483795115	OK	 
REQUEST	14		pets.png	1590483795062	1590483795119	OK	 
REQUEST	13		jquery-ui.min.css	1590483794859	1590483795122	OK	 
REQUEST	14		favicon.png	1590483795059	1590483795122	OK	 
