ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.History15AdminRequest	history15adminrequest	1590485824931	 	3.3.1
USER	Accept	1	START	1590485826504	1590485826504
USER	Reject	14	START	1590485826521	1590485826521
REQUEST	14		Home	1590485826578	1590485826613	OK	 
REQUEST	1		Home	1590485826576	1590485826613	OK	 
USER	Reject	15	START	1590485826667	1590485826667
USER	Accept	2	START	1590485826684	1590485826684
REQUEST	15		Home	1590485826669	1590485826692	OK	 
REQUEST	2		Home	1590485826688	1590485826701	OK	 
REQUEST	2		jquery-ui.min.css	1590485826777	1590485826817	OK	 
REQUEST	14		jquery-ui.min.css	1590485826778	1590485826847	OK	 
USER	Reject	16	START	1590485826861	1590485826861
USER	Accept	3	START	1590485826866	1590485826866
REQUEST	15		favicon.png	1590485826774	1590485826897	OK	 
REQUEST	14		favicon.png	1590485826774	1590485826900	OK	 
REQUEST	15		petclinic.css	1590485826797	1590485826900	OK	 
REQUEST	14		petclinic.css	1590485826775	1590485826903	OK	 
REQUEST	15		jquery-ui.min.css	1590485826798	1590485826916	OK	 
REQUEST	15		jquery-ui.theme.min.css	1590485826799	1590485826921	OK	 
REQUEST	1		favicon.png	1590485826851	1590485826884	OK	 
REQUEST	15		pets.png	1590485826803	1590485826925	OK	 
REQUEST	15		jquery.min.js	1590485826898	1590485826928	OK	 
REQUEST	15		jquery-ui.min.js	1590485826914	1590485826935	OK	 
REQUEST	15		bootstrap.min.js	1590485826917	1590485826937	OK	 
REQUEST	1		jquery.min.js	1590485826928	1590485826941	OK	 
REQUEST	1		jquery-ui.theme.min.css	1590485826868	1590485826945	OK	 
REQUEST	15		spring-pivotal-logo.png	1590485826804	1590485826961	OK	 
REQUEST	2		favicon.png	1590485826774	1590485826885	OK	 
REQUEST	1		bootstrap.min.js	1590485826946	1590485826961	OK	 
REQUEST	1		jquery-ui.min.js	1590485826942	1590485826964	OK	 
REQUEST	2		petclinic.css	1590485826775	1590485826964	OK	 
REQUEST	1		jquery-ui.min.css	1590485826862	1590485826966	OK	 
REQUEST	1		pets.png	1590485826869	1590485826968	OK	 
REQUEST	2		jquery-ui.theme.min.css	1590485826778	1590485826968	OK	 
REQUEST	1		spring-pivotal-logo.png	1590485826870	1590485826969	OK	 
REQUEST	16		Home	1590485826863	1590485826899	OK	 
REQUEST	2		pets.png	1590485826779	1590485826970	OK	 
REQUEST	2		spring-pivotal-logo.png	1590485826780	1590485826972	OK	 
REQUEST	2		jquery-ui.min.js	1590485826962	1590485826979	OK	 
REQUEST	2		jquery.min.js	1590485826883	1590485826980	OK	 
REQUEST	2		bootstrap.min.js	1590485826966	1590485826982	OK	 
REQUEST	3		Home	1590485826868	1590485826973	OK	 
USER	Reject	17	START	1590485826998	1590485826998
REQUEST	17		Home	1590485826999	1590485827018	OK	 
REQUEST	14		jquery.min.js	1590485826871	1590485827016	OK	 
USER	Accept	4	START	1590485827022	1590485827022
REQUEST	14		jquery-ui.theme.min.css	1590485826778	1590485827021	OK	 
REQUEST	14		jquery-ui.min.js	1590485826901	1590485827033	OK	 
REQUEST	14		pets.png	1590485826779	1590485827034	OK	 
REQUEST	16		jquery-ui.min.css	1590485826981	1590485827049	OK	 
REQUEST	3		jquery-ui.min.css	1590485827005	1590485827051	OK	 
REQUEST	16		jquery-ui.theme.min.css	1590485826982	1590485827052	OK	 
REQUEST	14		bootstrap.min.js	1590485826998	1590485827053	OK	 
REQUEST	3		jquery-ui.theme.min.css	1590485827005	1590485827055	OK	 
REQUEST	16		jquery.min.js	1590485827051	1590485827061	OK	 
REQUEST	3		jquery.min.js	1590485827052	1590485827065	OK	 
REQUEST	17		jquery-ui.min.css	1590485827031	1590485827069	OK	 
REQUEST	16		jquery-ui.min.js	1590485827053	1590485827076	OK	 
REQUEST	3		jquery-ui.min.js	1590485827057	1590485827083	OK	 
REQUEST	16		bootstrap.min.js	1590485827062	1590485827084	OK	 
REQUEST	3		bootstrap.min.js	1590485827066	1590485827087	OK	 
REQUEST	17		jquery.min.js	1590485827071	1590485827088	OK	 
REQUEST	14		spring-pivotal-logo.png	1590485826780	1590485827089	OK	 
REQUEST	16		favicon.png	1590485826979	1590485827095	OK	 
REQUEST	16		pets.png	1590485826982	1590485827097	OK	 
REQUEST	17		jquery-ui.min.js	1590485827089	1590485827100	OK	 
REQUEST	16		spring-pivotal-logo.png	1590485826983	1590485827100	OK	 
REQUEST	17		favicon.png	1590485827030	1590485827102	OK	 
REQUEST	3		favicon.png	1590485827003	1590485827104	OK	 
REQUEST	3		spring-pivotal-logo.png	1590485827007	1590485827107	OK	 
REQUEST	17		bootstrap.min.js	1590485827101	1590485827108	OK	 
REQUEST	4		Home	1590485827023	1590485827113	OK	 
REQUEST	3		pets.png	1590485827006	1590485827115	OK	 
REQUEST	4		jquery-ui.min.css	1590485827122	1590485827139	OK	 
REQUEST	4		jquery-ui.theme.min.css	1590485827123	1590485827147	OK	 
REQUEST	1		petclinic.css	1590485826857	1590485827148	OK	 
REQUEST	4		jquery.min.js	1590485827141	1590485827151	OK	 
REQUEST	4		bootstrap.min.js	1590485827152	1590485827158	OK	 
REQUEST	16		petclinic.css	1590485826980	1590485827159	OK	 
REQUEST	4		jquery-ui.min.js	1590485827149	1590485827166	OK	 
USER	Reject	18	START	1590485827167	1590485827167
REQUEST	18		Home	1590485827168	1590485827173	OK	 
REQUEST	17		jquery-ui.theme.min.css	1590485827032	1590485827180	OK	 
USER	Accept	5	START	1590485827185	1590485827185
