ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.History16OwnerRequest	history16ownerrequest	1590488073464	 	3.3.1
USER	OK	1	START	1590488075145	1590488075145
USER	Error	14	START	1590488075174	1590488075174
REQUEST	14		Home	1590488075219	1590488075259	OK	 
REQUEST	1		Home	1590488075219	1590488075256	OK	 
USER	OK	2	START	1590488075306	1590488075306
USER	Error	15	START	1590488075308	1590488075308
REQUEST	2		Home	1590488075307	1590488075339	OK	 
REQUEST	15		Home	1590488075309	1590488075349	OK	 
REQUEST	1		jquery-ui.min.css	1590488075434	1590488075464	OK	 
REQUEST	2		jquery-ui.min.css	1590488075427	1590488075457	OK	 
REQUEST	2		jquery-ui.theme.min.css	1590488075432	1590488075530	OK	 
REQUEST	14		jquery-ui.min.css	1590488075497	1590488075540	OK	 
USER	Error	16	START	1590488075538	1590488075538
USER	OK	3	START	1590488075545	1590488075545
REQUEST	14		jquery.min.js	1590488075542	1590488075559	OK	 
REQUEST	2		pets.png	1590488075433	1590488075565	OK	 
REQUEST	14		jquery-ui.min.js	1590488075562	1590488075576	OK	 
REQUEST	15		favicon.png	1590488075424	1590488075577	OK	 
REQUEST	14		bootstrap.min.js	1590488075577	1590488075585	OK	 
REQUEST	2		bootstrap.min.js	1590488075566	1590488075587	OK	 
REQUEST	2		petclinic.css	1590488075427	1590488075589	OK	 
REQUEST	15		jquery.min.js	1590488075578	1590488075598	OK	 
REQUEST	2		spring-pivotal-logo.png	1590488075434	1590488075599	OK	 
REQUEST	14		favicon.png	1590488075473	1590488075607	OK	 
REQUEST	1		favicon.png	1590488075430	1590488075610	OK	 
REQUEST	1		jquery-ui.theme.min.css	1590488075435	1590488075615	OK	 
REQUEST	1		jquery-ui.min.js	1590488075610	1590488075622	OK	 
REQUEST	2		favicon.png	1590488075424	1590488075623	OK	 
REQUEST	14		petclinic.css	1590488075495	1590488075626	OK	 
REQUEST	1		petclinic.css	1590488075431	1590488075627	OK	 
REQUEST	1		bootstrap.min.js	1590488075617	1590488075636	OK	 
REQUEST	14		jquery-ui.theme.min.css	1590488075498	1590488075642	OK	 
REQUEST	1		pets.png	1590488075439	1590488075643	OK	 
REQUEST	3		Home	1590488075547	1590488075646	OK	 
REQUEST	15		jquery-ui.min.js	1590488075599	1590488075646	OK	 
USER	OK	4	START	1590488075650	1590488075650
USER	Error	17	START	1590488075650	1590488075650
REQUEST	17		Home	1590488075650	1590488075657	OK	 
REQUEST	2		jquery.min.js	1590488075526	1590488075673	OK	 
REQUEST	2		jquery-ui.min.js	1590488075533	1590488075679	OK	 
REQUEST	14		spring-pivotal-logo.png	1590488075504	1590488075681	OK	 
