ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.History17OwnerPets	history17ownerpets	1590493698476	 	3.3.1
USER	AddPet	1	START	1590493700057	1590493700057
USER	EditPet	12	START	1590493700080	1590493700080
REQUEST	12		Home	1590493700126	1590493700162	OK	 
REQUEST	1		Home	1590493700126	1590493700162	OK	 
USER	AddPet	2	START	1590493700261	1590493700261
USER	EditPet	13	START	1590493700263	1590493700263
REQUEST	13		Home	1590493700264	1590493700275	OK	 
REQUEST	2		Home	1590493700262	1590493700282	OK	 
REQUEST	2		jquery-ui.min.css	1590493700326	1590493700375	OK	 
REQUEST	13		jquery-ui.theme.min.css	1590493700325	1590493700371	OK	 
REQUEST	1		jquery-ui.min.css	1590493700337	1590493700417	OK	 
REQUEST	12		favicon.png	1590493700320	1590493700430	OK	 
REQUEST	1		favicon.png	1590493700320	1590493700450	OK	 
REQUEST	13		favicon.png	1590493700322	1590493700450	OK	 
REQUEST	1		petclinic.css	1590493700336	1590493700453	OK	 
REQUEST	13		petclinic.css	1590493700323	1590493700453	OK	 
REQUEST	12		jquery.min.js	1590493700448	1590493700472	OK	 
REQUEST	12		petclinic.css	1590493700321	1590493700475	OK	 
USER	EditPet	14	START	1590493700480	1590493700480
USER	AddPet	3	START	1590493700481	1590493700481
REQUEST	2		favicon.png	1590493700324	1590493700489	OK	 
REQUEST	12		jquery-ui.min.css	1590493700322	1590493700500	OK	 
REQUEST	12		jquery-ui.theme.min.css	1590493700323	1590493700502	OK	 
REQUEST	12		pets.png	1590493700341	1590493700504	OK	 
REQUEST	12		spring-pivotal-logo.png	1590493700347	1590493700505	OK	 
REQUEST	12		jquery-ui.min.js	1590493700473	1590493700508	OK	 
REQUEST	13		jquery-ui.min.css	1590493700324	1590493700513	OK	 
REQUEST	2		petclinic.css	1590493700325	1590493700513	OK	 
REQUEST	13		pets.png	1590493700328	1590493700516	OK	 
REQUEST	13		spring-pivotal-logo.png	1590493700328	1590493700527	OK	 
REQUEST	12		bootstrap.min.js	1590493700498	1590493700529	OK	 
