ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.History19AdminRooms	history19adminrooms	1590494893502	 	3.3.1
USER	AccessRoom	1	START	1590494894892	1590494894892
USER	Sitter	13	START	1590494894918	1590494894918
REQUEST	1		Home	1590494894953	1590494894987	OK	 
REQUEST	13		Home	1590494894953	1590494894991	OK	 
USER	Sitter	14	START	1590494895057	1590494895057
REQUEST	14		Home	1590494895058	1590494895067	OK	 
USER	AccessRoom	2	START	1590494895085	1590494895085
REQUEST	14		jquery-ui.min.css	1590494895097	1590494895119	OK	 
REQUEST	1		jquery-ui.theme.min.css	1590494895098	1590494895121	OK	 
REQUEST	1		jquery-ui.min.css	1590494895097	1590494895170	OK	 
REQUEST	2		Home	1590494895092	1590494895182	OK	 
REQUEST	13		favicon.png	1590494895152	1590494895181	OK	 
REQUEST	14		favicon.png	1590494895095	1590494895189	OK	 
REQUEST	14		petclinic.css	1590494895096	1590494895217	OK	 
REQUEST	1		favicon.png	1590494895095	1590494895218	OK	 
REQUEST	1		petclinic.css	1590494895096	1590494895224	OK	 
REQUEST	14		jquery-ui.theme.min.css	1590494895098	1590494895225	OK	 
REQUEST	14		pets.png	1590494895098	1590494895227	OK	 
REQUEST	14		spring-pivotal-logo.png	1590494895099	1590494895229	OK	 
REQUEST	13		jquery.min.js	1590494895192	1590494895231	OK	 
REQUEST	14		jquery.min.js	1590494895187	1590494895231	OK	 
REQUEST	13		jquery-ui.min.css	1590494895163	1590494895234	OK	 
REQUEST	2		jquery-ui.min.css	1590494895192	1590494895236	OK	 
REQUEST	2		jquery-ui.theme.min.css	1590494895193	1590494895241	OK	 
REQUEST	13		jquery-ui.theme.min.css	1590494895164	1590494895243	OK	 
REQUEST	1		jquery.min.js	1590494895169	1590494895249	OK	 
REQUEST	14		jquery-ui.min.js	1590494895216	1590494895263	OK	 
REQUEST	2		jquery-ui.min.js	1590494895242	1590494895267	OK	 
REQUEST	2		jquery.min.js	1590494895238	1590494895275	OK	 
REQUEST	2		bootstrap.min.js	1590494895268	1590494895276	OK	 
REQUEST	2		spring-pivotal-logo.png	1590494895211	1590494895279	OK	 
USER	Sitter	15	START	1590494895281	1590494895281
USER	AccessRoom	3	START	1590494895281	1590494895281
REQUEST	2		favicon.png	1590494895190	1590494895286	OK	 
REQUEST	13		petclinic.css	1590494895159	1590494895289	OK	 
REQUEST	1		bootstrap.min.js	1590494895219	1590494895290	OK	 
REQUEST	2		pets.png	1590494895210	1590494895293	OK	 
REQUEST	2		petclinic.css	1590494895191	1590494895297	OK	 
REQUEST	1		jquery-ui.min.js	1590494895217	1590494895297	OK	 
REQUEST	1		pets.png	1590494895099	1590494895300	OK	 
REQUEST	1		spring-pivotal-logo.png	1590494895100	1590494895302	OK	 
REQUEST	15		Home	1590494895282	1590494895307	OK	 
REQUEST	3		Home	1590494895283	1590494895313	OK	 
REQUEST	13		jquery-ui.min.js	1590494895232	1590494895326	OK	 
REQUEST	15		jquery-ui.theme.min.css	1590494895316	1590494895333	OK	 
REQUEST	3		jquery-ui.min.css	1590494895323	1590494895341	OK	 
REQUEST	15		jquery-ui.min.css	1590494895315	1590494895342	OK	 
REQUEST	3		jquery-ui.theme.min.css	1590494895324	1590494895344	OK	 
REQUEST	15		jquery.min.js	1590494895335	1590494895352	OK	 
REQUEST	15		jquery-ui.min.js	1590494895344	1590494895357	OK	 
REQUEST	3		jquery.min.js	1590494895343	1590494895357	OK	 
REQUEST	15		bootstrap.min.js	1590494895353	1590494895360	OK	 
REQUEST	3		jquery-ui.min.js	1590494895345	1590494895362	OK	 
REQUEST	3		bootstrap.min.js	1590494895358	1590494895365	OK	 
REQUEST	3		spring-pivotal-logo.png	1590494895326	1590494895367	OK	 
REQUEST	15		spring-pivotal-logo.png	1590494895318	1590494895368	OK	 
REQUEST	15		petclinic.css	1590494895314	1590494895370	OK	 
REQUEST	3		petclinic.css	1590494895322	1590494895372	OK	 
REQUEST	14		bootstrap.min.js	1590494895223	1590494895375	OK	 
REQUEST	13		pets.png	1590494895165	1590494895378	OK	 
REQUEST	15		favicon.png	1590494895314	1590494895380	OK	 
REQUEST	3		pets.png	1590494895325	1590494895383	OK	 
REQUEST	15		pets.png	1590494895317	1590494895384	OK	 
REQUEST	3		favicon.png	1590494895321	1590494895385	OK	 
REQUEST	13		spring-pivotal-logo.png	1590494895166	1590494895385	OK	 
USER	Sitter	16	START	1590494895387	1590494895387
REQUEST	13		bootstrap.min.js	1590494895235	1590494895391	OK	 
REQUEST	16		Home	1590494895388	1590494895393	OK	 
REQUEST	16		favicon.png	1590494895399	1590494895407	OK	 
REQUEST	16		jquery.min.js	1590494895408	1590494895413	OK	 
REQUEST	16		jquery-ui.min.css	1590494895401	1590494895417	OK	 
REQUEST	16		jquery-ui.theme.min.css	1590494895402	1590494895419	OK	 
REQUEST	16		bootstrap.min.js	1590494895418	1590494895425	OK	 
REQUEST	16		jquery-ui.min.js	1590494895414	1590494895427	OK	 
USER	AccessRoom	4	START	1590494895427	1590494895427
REQUEST	16		petclinic.css	1590494895400	1590494895430	OK	 
REQUEST	16		pets.png	1590494895403	1590494895433	OK	 
REQUEST	16		spring-pivotal-logo.png	1590494895404	1590494895434	OK	 
REQUEST	4		Home	1590494895428	1590494895442	OK	 
REQUEST	4		favicon.png	1590494895449	1590494895457	OK	 
REQUEST	4		jquery.min.js	1590494895458	1590494895465	OK	 
REQUEST	4		jquery-ui.min.css	1590494895451	1590494895471	OK	 
REQUEST	4		jquery-ui.theme.min.css	1590494895452	1590494895474	OK	 
REQUEST	4		jquery-ui.min.js	1590494895466	1590494895476	OK	 
REQUEST	4		bootstrap.min.js	1590494895473	1590494895479	OK	 
REQUEST	4		pets.png	1590494895453	1590494895481	OK	 
REQUEST	4		spring-pivotal-logo.png	1590494895454	1590494895485	OK	 
REQUEST	4		petclinic.css	1590494895450	1590494895490	OK	 
USER	Sitter	17	START	1590494895561	1590494895561
REQUEST	17		Home	1590494895561	1590494895565	OK	 
REQUEST	17		jquery-ui.min.css	1590494895571	1590494895582	OK	 
